model,seed,precision,recall,f1,fpr,auroc,ap,n_test,n_test_mal
XChainWatcher,1,0.9615384615384616,1.0,0.9803921568627451,0.001488095238095238,0.9992559523809524,0.9615384615384616,697,25
Graph2Vec,1,0.6097560975609756,1.0,0.7575757575757576,0.023809523809523808,0.9990476190476191,0.9761920688007645,697,25
GCN,1,1.0,1.0,1.0,0.0,1.0,1.0,697,25
GraphSAGE,1,1.0,1.0,1.0,0.0,1.0,1.0000000000000002,697,25
B-Sentry,1,1.0,1.0,1.0,0.0,1.0,1.0,697,25
XChainWatcher,2,0.9615384615384616,1.0,0.9803921568627451,0.001488095238095238,0.9992559523809524,0.9615384615384616,697,25
Graph2Vec,2,0.6756756756756757,1.0,0.8064516129032258,0.017857142857142856,0.9985119047619048,0.9605783606451208,697,25
GCN,2,1.0,1.0,1.0,0.0,0.9999999999999999,1.0,697,25
GraphSAGE,2,1.0,1.0,1.0,0.0,1.0,1.0,697,25
B-Sentry,2,1.0,1.0,1.0,0.0,1.0,1.0,697,25
XChainWatcher,3,1.0,1.0,1.0,0.0,1.0,1.0,697,25
Graph2Vec,3,0.7272727272727273,0.96,0.8275862068965517,0.013392857142857142,0.99875,0.9730058371735791,697,25
GCN,3,1.0,1.0,1.0,0.0,1.0,1.0,697,25
GraphSAGE,3,1.0,1.0,1.0,0.0,1.0,1.0,697,25
B-Sentry,3,1.0,0.96,0.9795918367346939,0.0,1.0,1.0,697,25
XChainWatcher,4,0.9615384615384616,1.0,0.9803921568627451,0.001488095238095238,0.9992559523809524,0.9615384615384616,697,25
Graph2Vec,4,0.6666666666666666,0.96,0.7868852459016393,0.017857142857142856,0.9983928571428571,0.9679222651222652,697,25
GCN,4,1.0,1.0,1.0,0.0,1.0,1.0,697,25
GraphSAGE,4,1.0,1.0,1.0,0.0,1.0,1.0,697,25
B-Sentry,4,1.0,0.96,0.9795918367346939,0.0,1.0,1.0,697,25
XChainWatcher,5,1.0,1.0,1.0,0.0,1.0,1.0,697,25
Graph2Vec,5,0.8571428571428571,0.96,0.9056603773584906,0.005952380952380952,0.9995238095238096,0.98965,697,25
GCN,5,1.0,1.0,1.0,0.0,1.0,1.0,697,25
GraphSAGE,5,1.0,1.0,1.0,0.0,1.0,0.9999999999999999,697,25
B-Sentry,5,1.0,0.96,0.9795918367346939,0.0,1.0,1.0,697,25
