config,seed,precision,recall,f1,fpr,auroc,ap
B-Sentry,1,1.0,1.0,1.0,0.0,1.0,1.0
no-L2,1,0.9615384615384616,1.0,0.9803921568627451,0.001488095238095238,0.9992559523809524,0.9615384615384616
no-L3,1,0.5813953488372093,1.0,0.7352941176470589,0.026785714285714284,0.9994642857142857,0.9860458623502103
B-Sentry,2,1.0,1.0,1.0,0.0,1.0,1.0
no-L2,2,0.9615384615384616,1.0,0.9803921568627451,0.001488095238095238,0.9992559523809524,0.9615384615384616
no-L3,2,0.6944444444444444,1.0,0.819672131147541,0.01636904761904762,0.9990476190476191,0.9757747074514692
B-Sentry,3,1.0,0.96,0.9795918367346939,0.0,1.0,1.0
no-L2,3,1.0,1.0,1.0,0.0,1.0,1.0
no-L3,3,0.7058823529411765,0.96,0.8135593220338984,0.01488095238095238,0.9989285714285715,0.9773714285714286
B-Sentry,4,1.0,0.96,0.9795918367346939,0.0,1.0,1.0
no-L2,4,0.9615384615384616,1.0,0.9803921568627451,0.001488095238095238,0.9992559523809524,0.9615384615384616
no-L3,4,0.6666666666666666,0.96,0.7868852459016393,0.017857142857142856,0.9983333333333333,0.9669363814407294
B-Sentry,5,1.0,1.0,1.0,0.0,1.0,1.0
no-L2,5,1.0,1.0,1.0,0.0,1.0,1.0
no-L3,5,0.78125,1.0,0.8771929824561403,0.010416666666666666,0.9997619047619047,0.9941142857142858
