drop_p,model,seed,precision,recall,f1,fpr,auroc,ap,n_test,n_test_mal,n_perturbed
0.0,XChainWatcher,1,0.9615384615384616,1.0,0.9803921568627451,0.001488095238095238,0.9992559523809524,0.9615384615384616,697,25,0
0.0,Graph2Vec,1,0.5952380952380952,1.0,0.746268656716418,0.025297619047619048,0.9992261904761905,0.9823357142857143,697,25,0
0.0,GCN,1,1.0,1.0,1.0,0.0,1.0,1.0,697,25,0
0.0,GraphSAGE,1,1.0,1.0,1.0,0.0,1.0,1.0000000000000002,697,25,0
0.0,B-Sentry-critical,1,1.0,1.0,1.0,0.0,1.0,1.0,697,25,0
0.0,B-Sentry-tiered,1,0.5813953488372093,1.0,0.7352941176470589,0.026785714285714284,1.0,1.0,697,25,0
0.0,XChainWatcher,2,0.9615384615384616,1.0,0.9803921568627451,0.001488095238095238,0.9992559523809524,0.9615384615384616,697,25,0
0.0,Graph2Vec,2,0.6578947368421053,1.0,0.7936507936507936,0.019345238095238096,0.99875,0.9668740368025147,697,25,0
0.0,GCN,2,1.0,1.0,1.0,0.0,0.9999999999999999,1.0,697,25,0
0.0,GraphSAGE,2,1.0,1.0,1.0,0.0,1.0,1.0,697,25,0
0.0,B-Sentry-critical,2,1.0,1.0,1.0,0.0,1.0,1.0,697,25,0
0.0,B-Sentry-tiered,2,0.6410256410256411,1.0,0.78125,0.020833333333333332,1.0,1.0,697,25,0
0.0,XChainWatcher,3,1.0,1.0,1.0,0.0,1.0,1.0,697,25,0
0.0,Graph2Vec,3,0.7741935483870968,0.96,0.8571428571428571,0.010416666666666666,0.9988690476190477,0.9736409561453041,697,25,0
0.0,GCN,3,1.0,1.0,1.0,0.0,1.0,1.0,697,25,0
0.0,GraphSAGE,3,1.0,1.0,1.0,0.0,1.0,1.0,697,25,0
0.0,B-Sentry-critical,3,1.0,0.96,0.9795918367346939,0.0,1.0,1.0,697,25,0
0.0,B-Sentry-tiered,3,0.78125,1.0,0.8771929824561403,0.010416666666666666,1.0,1.0,697,25,0
0.0,XChainWatcher,4,0.9615384615384616,1.0,0.9803921568627451,0.001488095238095238,0.9992559523809524,0.9615384615384616,697,25,0
0.0,Graph2Vec,4,0.6857142857142857,0.96,0.8,0.01636904761904762,0.9985714285714286,0.9711011011011011,697,25,0
0.0,GCN,4,1.0,1.0,1.0,0.0,1.0,1.0,697,25,0
0.0,GraphSAGE,4,1.0,1.0,1.0,0.0,1.0,1.0,697,25,0
0.0,B-Sentry-critical,4,1.0,0.96,0.9795918367346939,0.0,1.0,1.0,697,25,0
0.0,B-Sentry-tiered,4,0.6756756756756757,1.0,0.8064516129032258,0.017857142857142856,1.0,1.0,697,25,0
0.0,XChainWatcher,5,1.0,1.0,1.0,0.0,1.0,1.0,697,25,0
0.0,Graph2Vec,5,0.8333333333333334,1.0,0.9090909090909091,0.00744047619047619,0.9997619047619047,0.9941142857142858,697,25,0
0.0,GCN,5,1.0,1.0,1.0,0.0,1.0,1.0,697,25,0
0.0,GraphSAGE,5,1.0,1.0,1.0,0.0,1.0,0.9999999999999999,697,25,0
0.0,B-Sentry-critical,5,1.0,1.0,1.0,0.0,1.0,1.0,697,25,0
0.0,B-Sentry-tiered,5,0.8333333333333334,1.0,0.9090909090909091,0.00744047619047619,1.0,1.0,697,25,0
0.1,XChainWatcher,1,0.9583333333333334,0.92,0.9387755102040817,0.001488095238095238,0.9592559523809523,0.8845361071257771,697,25,2
0.1,Graph2Vec,1,0.5897435897435898,0.92,0.71875,0.023809523809523808,0.9564880952380952,0.9160669566884257,697,25,2
0.1,GCN,1,1.0,0.92,0.9583333333333334,0.0,0.9985119047619047,0.979607843137255,697,25,2
0.1,GraphSAGE,1,1.0,0.92,0.9583333333333334,0.0,0.9997619047619049,0.9928827586206896,697,25,2
0.1,B-Sentry-critical,1,1.0,0.92,0.9583333333333334,0.0,0.9568452380952381,0.9258338564553256,697,25,2
0.1,B-Sentry-tiered,1,0.575,0.92,0.7076923076923077,0.025297619047619048,0.9568452380952381,0.9258338564553256,697,25,2
0.1,XChainWatcher,2,0.9615384615384616,1.0,0.9803921568627451,0.001488095238095238,0.9992559523809524,0.9615384615384616,697,25,2
0.1,Graph2Vec,2,0.6571428571428571,0.92,0.7666666666666667,0.017857142857142856,0.9900595238095238,0.9284912083851888,697,25,2
0.1,GCN,2,1.0,0.92,0.9583333333333334,0.0,0.9999404761904762,0.9984615384615385,697,25,2
0.1,GraphSAGE,2,1.0,0.92,0.9583333333333334,0.0,1.0,1.0,697,25,2
0.1,B-Sentry-critical,2,1.0,0.92,0.9583333333333334,0.0,0.9995238095238096,0.9903030303030304,697,25,2
0.1,B-Sentry-tiered,2,0.6486486486486487,0.96,0.7741935483870968,0.019345238095238096,0.9995238095238096,0.9903030303030304,697,25,2
0.1,XChainWatcher,3,1.0,1.0,1.0,0.0,1.0,1.0,697,25,2
0.1,Graph2Vec,3,0.71875,0.92,0.8070175438596491,0.013392857142857142,0.9978571428571429,0.9551671122994653,697,25,2
0.1,GCN,3,1.0,0.92,0.9583333333333334,0.0,0.9999404761904762,0.9984615384615387,697,25,2
0.1,GraphSAGE,3,1.0,0.92,0.9583333333333334,0.0,0.9989880952380953,0.9838095238095239,697,25,2
0.1,B-Sentry-critical,3,1.0,0.92,0.9583333333333334,0.0,0.9995833333333334,0.9912500000000001,697,25,2
0.1,B-Sentry-tiered,3,0.7272727272727273,0.96,0.8275862068965517,0.013392857142857142,0.9995833333333334,0.9912500000000001,697,25,2
0.1,XChainWatcher,4,0.96,0.96,0.96,0.001488095238095238,0.9792559523809523,0.9230347202295552,697,25,2
