subset,config,seed,precision,recall,f1,fpr,auroc,ap
R1,Datalog-only,1,1.0,1.0,1.0,0.0,1.0,1.0
R1,B-Sentry-critical,1,1.0,1.0,1.0,0.0,1.0,1.0
R1+R2,Datalog-only,1,0.9615384615384616,1.0,0.9803921568627451,0.001488095238095238,0.9992559523809524,0.9615384615384616
R1+R2,B-Sentry-critical,1,1.0,1.0,1.0,0.0,1.0,1.0
R1+R2+R3 (full),Datalog-only,1,0.9615384615384616,1.0,0.9803921568627451,0.001488095238095238,0.9992559523809524,0.9615384615384616
R1+R2+R3 (full),B-Sentry-critical,1,1.0,1.0,1.0,0.0,1.0,1.0
R1,Datalog-only,2,1.0,1.0,1.0,0.0,1.0,1.0
R1,B-Sentry-critical,2,1.0,1.0,1.0,0.0,1.0,1.0
R1+R2,Datalog-only,2,0.9615384615384616,1.0,0.9803921568627451,0.001488095238095238,0.9992559523809524,0.9615384615384616
R1+R2,B-Sentry-critical,2,1.0,1.0,1.0,0.0,1.0,1.0
R1+R2+R3 (full),Datalog-only,2,0.9615384615384616,1.0,0.9803921568627451,0.001488095238095238,0.9992559523809524,0.9615384615384616
R1+R2+R3 (full),B-Sentry-critical,2,1.0,1.0,1.0,0.0,1.0,1.0
R1,Datalog-only,3,1.0,1.0,1.0,0.0,1.0,1.0
R1,B-Sentry-critical,3,1.0,0.96,0.9795918367346939,0.0,1.0,1.0
R1+R2,Datalog-only,3,1.0,1.0,1.0,0.0,1.0,1.0
R1+R2,B-Sentry-critical,3,1.0,0.96,0.9795918367346939,0.0,1.0,1.0
R1+R2+R3 (full),Datalog-only,3,1.0,1.0,1.0,0.0,1.0,1.0
R1+R2+R3 (full),B-Sentry-critical,3,1.0,0.96,0.9795918367346939,0.0,1.0,1.0
R1,Datalog-only,4,1.0,1.0,1.0,0.0,1.0,1.0
R1,B-Sentry-critical,4,1.0,0.96,0.9795918367346939,0.0,1.0,1.0
R1+R2,Datalog-only,4,0.9615384615384616,1.0,0.9803921568627451,0.001488095238095238,0.9992559523809524,0.9615384615384616
R1+R2,B-Sentry-critical,4,1.0,0.96,0.9795918367346939,0.0,1.0,1.0
R1+R2+R3 (full),Datalog-only,4,0.9615384615384616,1.0,0.9803921568627451,0.001488095238095238,0.9992559523809524,0.9615384615384616
R1+R2+R3 (full),B-Sentry-critical,4,1.0,0.96,0.9795918367346939,0.0,1.0,1.0
R1,Datalog-only,5,1.0,1.0,1.0,0.0,1.0,1.0
R1,B-Sentry-critical,5,1.0,1.0,1.0,0.0,1.0,1.0
R1+R2,Datalog-only,5,1.0,1.0,1.0,0.0,1.0,1.0
R1+R2,B-Sentry-critical,5,1.0,1.0,1.0,0.0,1.0,1.0
R1+R2+R3 (full),Datalog-only,5,1.0,1.0,1.0,0.0,1.0,1.0
R1+R2+R3 (full),B-Sentry-critical,5,1.0,1.0,1.0,0.0,1.0,1.0
